,Percentile,Cutoff,Accuracy,ErrorRate,Precision,Recall,FPR,f1Score
44,44.0,44.0,0.5518867924528302,0.4481132075471698,0.6666666666666666,0.2882882882882883,0.15841584158415845,0.4025157232704402
45,45.0,45.0,0.5471698113207547,0.4528301886792453,0.6666666666666666,0.2702702702702703,0.14851485148514854,0.3846153846153846
46,46.0,46.0,0.5471698113207547,0.4528301886792453,0.6744186046511628,0.26126126126126126,0.13861386138613863,0.37662337662337664
47,47.0,47.0,0.5424528301886793,0.45754716981132076,0.6666666666666666,0.25225225225225223,0.13861386138613863,0.3660130718954248
48,48.0,48.0,0.5377358490566038,0.46226415094339623,0.6666666666666666,0.23423423423423423,0.12871287128712872,0.3466666666666667
49,49.0,49.0,0.5283018867924528,0.4716981132075472,0.6571428571428571,0.2072072072072072,0.1188118811881188,0.3150684931506849
50,50.0,50.0,0.5283018867924528,0.4716981132075472,0.6571428571428571,0.2072072072072072,0.1188118811881188,0.3150684931506849
51,51.0,51.0,0.5330188679245284,0.4669811320754717,0.6764705882352942,0.2072072072072072,0.1089108910891089,0.3172413793103448
52,52.0,52.0,0.5330188679245284,0.4669811320754717,0.6764705882352942,0.2072072072072072,0.1089108910891089,0.3172413793103448
53,53.0,53.0,0.5283018867924528,0.4716981132075472,0.6666666666666666,0.1981981981981982,0.1089108910891089,0.3055555555555556
54,54.0,54.0,0.5283018867924528,0.4716981132075472,0.6774193548387096,0.1891891891891892,0.09900990099009899,0.295774647887324
55,55.0,55.0,0.5235849056603774,0.47641509433962265,0.6666666666666666,0.18018018018018017,0.09900990099009899,0.2836879432624113
56,56.0,56.0,0.5283018867924528,0.4716981132075472,0.6896551724137931,0.18018018018018017,0.08910891089108908,0.2857142857142857
57,57.0,57.0,0.5283018867924528,0.4716981132075472,0.6896551724137931,0.18018018018018017,0.08910891089108908,0.2857142857142857
58,58.0,58.0,0.5283018867924528,0.4716981132075472,0.7037037037037037,0.17117117117117117,0.07920792079207917,0.2753623188405797
59,59.0,59.0,0.5283018867924528,0.4716981132075472,0.7037037037037037,0.17117117117117117,0.07920792079207917,0.2753623188405797
60,60.0,60.0,0.5283018867924528,0.4716981132075472,0.7037037037037037,0.17117117117117117,0.07920792079207917,0.2753623188405797
61,61.0,61.0,0.5235849056603774,0.47641509433962265,0.6923076923076923,0.16216216216216217,0.07920792079207917,0.26277372262773724
62,62.0,62.0,0.5141509433962265,0.4858490566037736,0.6666666666666666,0.14414414414414414,0.07920792079207917,0.23703703703703705
63,63.0,63.0,0.5141509433962265,0.4858490566037736,0.6666666666666666,0.14414414414414414,0.07920792079207917,0.23703703703703705
64,64.0,64.0,0.5094339622641509,0.49056603773584906,0.6521739130434783,0.13513513513513514,0.07920792079207917,0.2238805970149254
65,65.0,65.0,0.5094339622641509,0.49056603773584906,0.6666666666666666,0.12612612612612611,0.06930693069306926,0.21212121212121213
66,66.0,66.0,0.5094339622641509,0.49056603773584906,0.7058823529411765,0.10810810810810811,0.04950495049504955,0.1875
67,67.0,67.0,0.5047169811320755,0.49528301886792453,0.6875,0.0990990990990991,0.04950495049504955,0.1732283464566929
68,68.0,68.0,0.5094339622641509,0.49056603773584906,0.7333333333333333,0.0990990990990991,0.03960396039603964,0.1746031746031746
69,69.0,69.0,0.5094339622641509,0.49056603773584906,0.7692307692307693,0.09009009009009009,0.02970297029702973,0.16129032258064516
70,70.0,70.0,0.5,0.5,0.7272727272727273,0.07207207207207207,0.02970297029702973,0.13114754098360656
71,71.0,71.0,0.5,0.5,0.7272727272727273,0.07207207207207207,0.02970297029702973,0.13114754098360656
72,72.0,72.0,0.5,0.5,0.7272727272727273,0.07207207207207207,0.02970297029702973,0.13114754098360656
73,73.0,73.0,0.49528301886792453,0.5047169811320755,0.7,0.06306306306306306,0.02970297029702973,0.11570247933884296
74,74.0,74.0,0.49528301886792453,0.5047169811320755,0.7,0.06306306306306306,0.02970297029702973,0.11570247933884296
75,75.0,75.0,0.49528301886792453,0.5047169811320755,0.7,0.06306306306306306,0.02970297029702973,0.11570247933884296
76,76.0,76.0,0.5,0.5,0.7777777777777778,0.06306306306306306,0.01980198019801982,0.11666666666666665
